Título;Endereço;Taxa;Área;Quartos;Banheiros;Suítes;Vagas;Preço
Apartamento com 3 Quartos à Venda, 98m²;Rua da Lagosta, 466 - Ponta Negra, Natal - RN;R$ 775;98;3;2;2;2;R$ 280.000
Alto da Boa Vista;Rua Princesa Isabel, 816 - Cidade Alta, Natal - RN;;71-75;3;3;3;2;A partir de R$ 340.000
Apartamento com 2 Quartos para Venda/Aluguel 54m²; | Ponta Negra, Natal - RN;;54;2;2;2;--;R$ 290.000
Apartamento com 3 Quartos à Venda, 104m²;Rua Doutor Francisco Leite de Carvalho, 2377 - Lagoa Nova, Natal - RN;;104;3;3;3;2;R$ 550.000
Apartamento com 3 Quartos à Venda, 72m²;Rua Lúcia Viveiros, 649 - Neópolis, Natal - RN;R$ 411;72;3;2;2;1;R$ 310.000
Apartamento com 4 Quartos à Venda, 136m²;Rua Souza Machado, 1036 - Tirol, Natal - RN;R$ 1.000;136;4;4;4;2;R$ 649.000
Apartamento com 3 Quartos à Venda, 78m²;Avenida das Alagoas - Neópolis, Natal - RN;R$ 560;78;3;2;2;2;R$ 370.000
Apartamento com 3 Quartos à Venda, 162m²;Rua Francisco Borges de Oliveira, 1288 - Lagoa Nova, Natal - RN;R$ 1.580;162;3;3;3;2;R$ 370.000
Jardim Lagoa Nova;Rua Fernando Barreto - Lagoa Nova, Natal - RN;;55;2;2;2;2;A partir de R$ 287.038
Apartamento com 2 Quartos à Venda, 64m²;Avenida Afonso Pena, 957 - Tirol, Natal - RN;R$ 550;64;2;1;1;1;R$ 290.000
Apartamento com 2 Quartos à Venda, 53m²;Rua Adolfo Gordo, 1035 - Cidade da Esperança, Natal - RN;R$ 432;53;2;2;2;1;R$ 155.000
Apartamento com 2 Quartos à Venda, 56m²;Avenida Engenheiro Roberto Freire, 9 - Ponta Negra, Natal - RN;;56;2;2;2;1;R$ 335.000
Apartamento com 3 Quartos à Venda, 70m²;Rua Hélio Galvão, 8808 - Ponta Negra, Natal - RN;;70;3;2;2;2;R$ 260.000
Apartamento com 3 Quartos à Venda, 117m²;Rua Doutor Rômulo Jorge, 120 - Lagoa Nova, Natal - RN;R$ 500;117;3;4;4;2;R$ 720.000
Apartamento com 2 Quartos à Venda/Aluguel 56m²;Rua da Campina, 140 - Ponta Negra, Natal - RN;;56;2;2;2;1;R$ 240.000
Spazio Andrier;Rua Doutor Amaro Ienaga - Pajuçara, Natal - RN;;48;2;1;1;1;A partir de R$ 182.517
Apartamento com 3 Quartos para Venda/Aluguel 98m²; | Lagoa Nova, Natal - RN;;98;3;2;2;2;R$ 410.000
Apartamento com 3 Quartos à Venda, 173m²;Avenida Almirante Alexandrino de Alencar - Tirol, Natal - RN;R$ 539;173;3;3;3;2;R$ 525.000
Apartamento com 2 Quartos à Venda, 58m²;Rua Doutor Manoel Augusto Bezerra de Araújo, 0 - Ponta Negra, Natal - RN;R$ 500;58;2;2;2;1;R$ 240.000
